Name_ID ,Name_OfficialCombined,Name_Official,,Name_FirstName,Name_ForwardName,Name_DateExpression,Name_BirthDateFilter,Name_DeathDateFilter,Name_Type,Name_KressInstitutionType,Name_InstitutionStatus,Name_Location,Name_LocationFilter,Name_InstitutionWeb,Name_Nationality ,Name_NationalityFilter,Name_ULANID,Name_ULANURI,Name_VIAFID,Name_VIAFURI,Name_LCCNID,Name_LCCNURI,Name_WikipediaURL,Name_TMSID,Name_InternalNote,Name_RelatedObjectID,Name_RelatedAcquisitionID,Name_RelatedDocumentID,Name_RelatedObjectID (previous attribution),,,
NAM0016,"Allegrini, Flaminio, 1587-c. 1663","Allegrini, Flaminio",Allegrini,Flaminio,Flaminio Allegrini,1587-c. 1663,1587,1668,Artist,,,,,,Italian,Italian,500006387,http://vocab.getty.edu/page/ulan/500006387,49494821,http://viaf.org/viaf/49494821,nr2002043615,http://id.loc.gov/authorities/names/nr2002043615,https://en.wikipedia.org/wiki/Francesco_Allegrini_da_Gubbio,28421,"acquired as ""Francesco"" but Francesco is actually Flaminio's son, born c. 1615",,,,,,,
NAM0017,"Allen Memorial Art Museum, Oberlin College, Oberlin, Ohio","Allen Memorial Art Museum, Oberlin College","Allen Memorial Art Museum, Oberlin College",,,,,,Institution,Kress Study Collection,Current Owner,"Oberlin, Ohio",Ohio,http://www2.oberlin.edu/amam/default.html,,,,,155081650,http://viaf.org/viaf/155081650,n79092629,http://id.loc.gov/authorities/names/n79092629,https://en.wikipedia.org/wiki/Allen_Memorial_Art_Museum,11894,,,,,,,,
NAM0018,"Allentown Art Museum, Allentown, Pennsylvania",Allentown Art Museum,Allentown Art Museum,,,,,,Institution,Kress Regional Collection,Current Owner,"Allentown, Pennsylvania",Pennsylvania,http://www.allentownartmuseum.org,,,,,126657445,http://viaf.org/viaf/126657445,n79071260,http://id.loc.gov/authorities/names/n79071260,https://en.wikipedia.org/wiki/Allentown_Art_Museum,17776,,,,,,,,
NAM0019,"Allerton Park & Retreat Center [National Art Foundation], Monticello, Illinois",Allerton Park & Retreat Center [National Art Foundation],Allerton Park & Retreat Center [National Art Foundation],,,,,,Institution,Kress Gift Location,Current Owner,"Monticello, Illinois",Illinois,https://allerton.illinois.edu/,,,,,,,,,https://en.wikipedia.org/wiki/Robert_Allerton_Park,46255,,,,,,,,
NAM0020,"Allori, Alessandro, 1535-1607","Allori, Alessandro",Allori,Alessandro,Alessandro Allori,1535-1607,1535,1607,Artist,,,,,,Florentine,Italian,500027631,http://vocab.getty.edu/page/ulan/500027631,52482834,http://viaf.org/viaf/52482834,nr92024249,http://id.loc.gov/authorities/names/nr92024249,https://en.wikipedia.org/wiki/Alessandro_Allori,2344,aka Il Bronzino,,,,2756,,,
NAM0021,"Alunno di Benozzo, active late 15th century-early 16th century",Alunno di Benozzo,Alunno di Benozzo,,Alunno di Benozzo,active late 15th century-early 16th century,1475,1525,Artist,,,,,,Florentine,Italian,500299803,http://vocab.getty.edu/page/ulan/500299803,173624810,http://viaf.org/viaf/173624810,,,,12940,alt: Maestro Esiguo,,,,3466,,,
NAM0022,"Amadeo, Giovanni Antonio, 1447-1522","Amadeo, Giovanni Antonio",Amadeo,Giovanni Antonio,Giovanni Antonio Amadeo,1447-1522,1477,1522,Artist,,,,,,Lombard,Italian,500018162,http://vocab.getty.edu/page/ulan/500018162,809319,http://viaf.org/viaf/809319,nr90000026,http://id.loc.gov/authorities/names/nr90000026,,2002,,,,,782;2041;2178,,,
NAM0024,"Amedei, Amadio, called Amadio da Milano, died c. 1483","Amedei, Amadio, called Amadio da Milano","Amedei, called Amadio da Milano",Amadio,"Amadio Amedei, called Amadio da Milano",died c. 1483,1400,1485,Artist,,,,,,Ferrarese,Italian,,,,,,,,2003,,,,,,,,
NAM0025,American Art Association,,American Art Association,,,,,,Seller,,,"New York, New York",New York,,,,,,144775553,http://viaf.org/viaf/144775553,n80020591,http://id.loc.gov/authorities/names/n80020591,https://en.wikipedia.org/wiki/American_Art_Association,8515,,,ACQ314;ACQ315;ACQ316,,,,,
NAM0026,"Amigoni, Jacopo, 1675-1752","Amigoni, Jacopo",Amigoni,Jacopo,Jacopo Amigoni,1675-1752,1675,1752,Artist,,,,,,Italian,Italian,500016473,http://vocab.getty.edu/page/ulan/500016473,88651989; 30333378,http://viaf.org/viaf/88651989; http://viaf.org/viaf/30333378,n85017708,http://id.loc.gov/authorities/names/n85017708,https://en.wikipedia.org/wiki/Jacopo_Amigoni,5863,,,,,2364,,,
NAM0028,Anderson Galleries,,Anderson Galleries,,,,,,Seller,,,"New York, New York",New York,,,,,,144788178,http://viaf.org/viaf/144788178,n80020593,http://id.loc.gov/authorities/names/n80020593,,,,,ACQ317;ACQ318,,,,,
